time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
11990881,0,50,96,48,1000,0
22572710,0,100,96,48,1000,0
2295226,0,10,112,56,20,0
11013317,0,50,112,56,20,0
22422909,0,100,112,56,20,0
2438603,0,10,112,56,100,0
11676757,0,50,112,56,100,0
24331425,0,100,112,56,100,0
2347599,0,10,112,56,1000,0
11204478,0,50,112,56,1000,0
25548221,0,100,112,56,1000,0
2377868,0,10,128,64,20,0
11202530,0,50,128,64,20,0
22058612,0,100,128,64,20,0
2384373,0,10,128,64,100,0
10790561,0,50,128,64,100,0
21551135,0,100,128,64,100,0
2225069,0,10,128,64,1000,0
10959295,0,50,128,64,1000,0
21061725,0,100,128,64,1000,0
2145602,0,10,144,72,20,0
10600259,0,50,144,72,20,0
24014964,0,100,144,72,20,0
2480296,0,10,144,72,100,0
11662335,0,50,144,72,100,0
23509777,0,100,144,72,100,0
2400254,0,10,144,72,1000,0
11784719,0,50,144,72,1000,0
25200869,0,100,144,72,1000,0
2486547,0,10,160,80,20,0
11928020,0,50,160,80,20,0
23861119,0,100,160,80,20,0
3642146,0,10,160,80,100,0
12424346,0,50,160,80,100,0
24997370,0,100,160,80,100,0
2507444,0,10,160,80,1000,0
12201057,0,50,160,80,1000,0
24049349,0,100,160,80,1000,0
2257055,0,10,176,88,20,0
10580588,0,50,176,88,20,0
22168675,0,100,176,88,20,0
2307811,0,10,176,88,100,0
11106444,0,50,176,88,100,0
22367270,0,100,176,88,100,0
2298284,0,10,176,88,1000,0
9696397,0,50,176,88,1000,0
19842308,0,100,176,88,1000,0
2300645,0,10,192,96,20,0
11052987,0,50,192,96,20,0
21140499,0,100,192,96,20,0
2158187,0,10,192,96,100,0
10083224,0,50,192,96,100,0
20048330,0,100,192,96,100,0
2304790,0,10,192,96,1000,0
11219781,0,50,192,96,1000,0
22401663,0,100,192,96,1000,0
